None	AALB	ACEP	AGAM	AMEL	BMOR	BTAB	BTER	CNAS	CSOL	DANA	DARI	DBIA	DBIP	DBUS	DELE	DERE	DEUG	DGRI	DGUA	DHYD	DKIK	DMEL	DMIR	DMOJ	DNAV	DNOV	DOBS	DPER	DPLE	DPSE	DRHO	DSER	DSIM	DSUZ	DTAK	DVIR	DWIL	DYAK	GMEL	HKAH	MPHA	MSAC	NVIT	OBIR	PPOL	PXUT	SLEB	TCAS	TRNI	DSEC
LOC108020202|XP_016943800.1|DSUZ	207.6	147.9	194.1	128.3	168.7	147.5	128.6	124.8	137.9	269.6	259.6	292.0	275.0	263.1	289.7	284.6	284.3	268.9	274.6	260.8	273.9	287.0	274.6	259.6	258.8	263.1	275.4	274.6	166.8	274.6	283.1	273.9	287.0	297.4	290.4	261.9	257.3	283.5	169.5	170.6	158.7	147.9	155.6	141.0	0	0	260.8	179.1	169.5	277.7
LOC108012298|XP_016933088.1|DSUZ	0	0	0	0	0	0	0	0	0	178.3	0	550.8	209.1	154.45	444.1	428.3	438.7	0	308.1	0	378.6	456.4	300.1	0	0	0	294.3	307.8	0	307.0	484.2	391.0	470.7	654.4	472.6	0	259.6	406.4	0	0	0	0	0	0	0	0	234.2	0	0	460.3
LOC108020914|XP_016944823.1|DSUZ	0	0	0	0	0	0	0	0	0	192.95	137.1	363.2	199.10000000000002	0	318.5	302.4	329.7	177.9	241.1	146.4	280.0	311.6	251.5	112.1	135.6	178.3	235.3	251.9	0	251.5	242.25	293.1	311.6	413.3	322.8	176.0	222.2	312.4	0	0	0	0	0	0	0	0	111.3	0	0	311.2
LOC108009895|XP_016930102.1|DSUZ	197.6	129.0	197.6	169.1	164.1	117.5	159.8	199.9	166.0	389.4	0	399.4	388.7	355.1	389.0	374.8	409.5	349.7	355.9	372.1	418.7	353.6	367.9	348.6	364.0	351.7	379.8	369.4	181.0	375.2	429.9	388.7	353.2	451.8	362.8	346.7	320.9	367.9	187.2	192.2	134.8	151.0	177.9	144.8	175.3	177.2	300.1	188.7	128.6	353.2
LOC108020992|XP_016944942.1|DSUZ	0	0	0	0	0	0	0	0	0	1283.1	264.2	2087.0	1279.2	271.9	1557.7	1705.6	1791.2	568.2	698.4	510.4	1228.4	1792.7	709.9	484.2	487.6	544.3	645.55	745.0	0	726.1	1743.0	1311.2	1786.2	2434.4	1681.8	505.4	429.9	1740.7	0	0	0	0	0	0	0	0	593.6	0	0	1775.0
LOC108018119|XP_016941047.1|DSUZ	102.05000000000001	72.4	80.65	56.400000000000006	91.7	75.1	56.6	153.3	63.5	2028.4	1521.5	2494.2	2080.4	1514.2	2205.6	2335.1	2414.0	1614.4	1652.1	1590.5	2146.3	2363.2	1434.65	1499.2	1520.8	1700.6	1605.9	1679.1	91.7	1619.8	2463.3	2171.4	2294.2	2612.4	2471.0	1766.5	1756.5	2289.2	70.1	105.1	52.63333333333333	69.3	58.15	59.7	104.4	95.5	1533.5	65.45	84.55000000000001	2292.3
LOC108014255|XP_016935782.1|DSUZ	279.6	149.1	261.2	232.6	245.4	199.9	226.1	315.8	194.1	659.4	577.8	724.2	658.3	548.1	701.8	703.0	679.5	568.5	598.6	583.9	641.3	696.0	570.9	580.9	580.9	570.3	611.3	567.8	241.5	600.1	681.4	630.2	700.3	733.4	706.1	579.3	600.1	696.8	246.9	242.7	220.7	161.4	208.4	212.6	243.4	243.0	541.6	238.0	240.7	698.0
LOC108017912|XP_016940570.1|DSUZ	0	0	0	0	0	0	0	0	0	86.3	0	237.3	143.3	0	203.0	208.0	196.8	0	0	0	180.3	213.4	0	0	0	0	0	0	0	0	174.7	155.6	211.5	260.0	234.6	0	0	204.9	0	0	0	0	0	0	0	0	0	0	0	212.2
LOC108010082|XP_016930387.1|DSUZ	172.70000000000002	0	153.3	0	97.1	0	0	128.6	0	774.2	651.0	826.2	772.7	629.4	774.2	791.6	806.6	648.3	757.7	648.3	788.9	785.8	692.95	651.7	656.0	645.2	742.3	752.3	105.1	736.1	788.5	779.6	798.9	843.6	789.6	646.0	677.2	792.3	100.5	97.4	0	0	0	0	103.2	104.8	681.0	95.5	102.8	799.3
LOC108005485|XP_016924278.1|DSUZ	160.39999999999998	145.2	143.3	84.3	140.2	102.1	134.8	157.9	133.3	332.4	307.0	338.6	332.8	315.8	339.0	339.0	337.8	300.8	322.0	307.4	330.1	339.0	325.1	307.0	308.9	308.9	321.6	325.1	136.0	325.1	340.1	330.1	337.8	357.8	339.0	310.8	316.6	288.1	135.2	112.1	148.7	98.6	116.9	152.1	138.7	134.4	288.1	116.7	132.5	337.8
LOC108009780|XP_016929905.1|DSUZ	137.1	119.4	130.6	117.1	121.3	117.9	116.3	99.0	90.1	176.8	170.2	178.3	177.9	172.6	181.8	184.5	184.9	179.1	177.9	175.6	185.3	184.1	170.65	170.2	170.2	180.3	177.9	174.1	118.2	174.1	186.0	185.3	186.0	217.6	185.3	180.6	171.0	186.4	122.9	116.3	112.1	124.0	113.2	114.4	127.1	125.6	163.3	117.5	107.8	186.0
LOC108014003|XP_016935505.1|DSUZ	133.3	129.4	129.8	103.6	129.0	116.7	106.3	165.6	90.1	446.4	362.1	526.6	415.6	362.8	476.1	466.8	483.8	295.4	400.2	340.9	434.1	464.2	404.1	357.1	362.1	373.6	387.9	413.3	114.4	402.1	495.0	468.0	442.2	558.9	453.8	366.7	354.8	466.1	124.0	109.0	132.5	100.1	96.7	115.0	124.8	102.4	282.7	104.8	108.2	440.7
LOC108005752|XP_016924568.1|DSUZ	0	0	0	0	0	0	0	0	0	204.1	87.8	437.6	197.2	0	258.8	271.6	282.3	84.7	147.9	0	184.9	302.8	144.4	87.0	90.5	0	145.2	141.4	0	140.2	256.1	175.6	295.0	530.4	219.5	84.3	110.5	323.9	0	0	0	0	0	0	0	0	77.0	0	0	297.4
LOC108011891|XP_016932627.1|DSUZ	132.7	180.05	214.9	192.60000000000002	205.3	183.0	185.25	196.1	155.8	316.2	0	393.3	325.5	267.3	357.8	327.8	363.2	275.0	303.9	285.0	329.3	322.4	294.7	274.2	276.6	274.6	303.5	305.8	211.1	308.9	258.45	327.4	314.3	440.7	264.79999999999995	264.6	279.3	345.5	209.1	210.3	204.7	192.6	188.33333333333334	200.85000000000002	208.4	205.7	287.3	228.0	216.5	315.5
LOC108008350|XP_016927668.1|DSUZ	190.7	51.6	201.4	0	152.9	143.7	0	163.3	0	433.7	415.6	488.8	434.5	389.8	481.5	433.3	446.4	402.5	409.8	404.4	436.0	456.1	400.4	404.1	416.8	351.7	422.9	413.7	169.1	412.9	479.6	453.8	474.2	520.8	412.1	403.7	370.5	465.3	114.35	125.6	0	136.7	90.5	0	159.1	158.7	388.3	187.2	113.05000000000001	471.1
LOC108016934|XP_016939353.1|DSUZ	77.63333333333334	72.4	43.9	79.3	0	73.9	0	85.9	85.9	594.0	440.3	892.9	586.6	288.5	731.1	787.7	816.2	401.7	522.3	432.2	640.2	766.1	546.6	439.1	422.9	475.7	538.1	554.7	60.8	548.9	819.7	585.9	746.9	925.2	738.8	472.2	412.1	767.3	54.3	56.6	76.3	72.0	101.3	86.7	56.2	62.0	385.6	87.0	54.3	748.8
LOC108005985|XP_016924915.1|DSUZ	195.7	125.6	185.7	124.0	132.1	121.3	122.9	201.1	125.9	462.6	422.2	543.5	450.7	395.2	525.8	515.4	525.8	365.9	411.4	394.85	470.3	498.0	433.7	399.4	423.3	408.7	430.6	436.4	129.0	436.8	514.2	456.4	499.2	561.6	506.5	399.4	430.6	517.3	151.8	144.4	122.9	118.6	127.9	123.6	94.55	114.6	348.2	139.8	149.4	493.8
LOC108018227|XP_016941235.1|DSUZ	94.94999999999999	94.7	119.8	83.2	91.7	0	92.8	151.4	0	656.4	528.5	909.1	655.6	524.6	831.2	853.2	869.0	522.3	606.3	525.8	747.3	794.7	602.25	530.4	527.3	530.0	486.9	612.8	93.2	615.1	864.8	756.9	792.3	939.9	866.7	530.4	575.5	844.0	87.4	86.7	85.1	0	85.5	85.9	92.4	87.0	455.7	75.1	93.6	790.8
LOC108021014|XP_016944982.1|DSUZ	355.9	275.8	359.4	277.7	312.8	284.3	277.7	272.5	249.6	488.8	448.0	506.1	488.8	435.3	282.55	495.0	281.35	450.3	458.8	448.0	495.4	501.5	463.4	448.0	445.7	446.4	198.4	463.4	310.1	461.1	496.1	493.8	497.7	517.7	282.9	444.9	455.3	491.1	304.3	303.1	279.6	240.0	254.6	273.1	308.5	306.2	406.0	327.0	302.0	501.5
LOC108011752|XP_016932468.1|DSUZ	0	0	0	0	0	0	0	0	0	208.0	151.8	386.7	216.1	0	314.3	256.1	280.4	155.2	189.9	154.1	272.3	273.5	213.0	151.4	147.5	173.3	194.1	210.7	0	216.1	296.6	265.0	266.2	445.3	358.2	170.2	156.2	263.5	0	0	0	0	0	0	0	0	159.1	0	0	267.3
LOC108019908|XP_016943495.1|DSUZ	0	0	0	42.4	0	0	42.7	0	0	279.6	127.1	822.8	297.4	113.25	565.1	510.0	510.8	155.1	209.9	132.85	261.9	496.5	146.475	118.05	130.2	137.15	145.75	151.55	0	152.15	538.1	292.7	477.2	1412.9	758.8	137.85	143.25	526.6	0	0	0	0	0	43.1	0	0	116.3	0	0	478.0
LOC108011226|XP_016931813.1|DSUZ	72.2	0	94.4	61.2	0	89.0	62.4	0	70.1	327.20000000000005	233.8	501.5	323.0	369.4	377.84999999999997	404.45	372.1	288.1	353.6	236.5	343.35	729.9	345.5	231.5	241.7	224.0	358.6	344.4	0	345.9	774.6	324.1	708.4	984.2	722.6	226.5	386.3	442.4	82.4	0	0	0	65.5	0	87.0	77.8	232.26666666666665	0	71.2	681.0
LOC108015396|XP_016937304.1|DSUZ	0	0	0	0	0	0	0	0	0	109.8	0	343.2	69.3	0	131.7	86.7	94.86666666666667	0	0	0	0	67.8	0	0	0	0	0	0	0	0	189.9	49.7	75.1	552.4	188.3	0	84.0	67.8	0	0	0	0	0	0	0	0	47.0	0	0	57.2
LOC108013697|XP_016935104.1|DSUZ	0	0	0	0	0	0	0	0	0	51.6	60.1	96.3	55.5	52.0	82.8	96.3	73.9	54.3	49.3	57.0	55.5	93.6	63.2	59.3	59.7	51.2	58.5	59.3	0	60.8	87.0	55.8	90.5	151.8	70.9	51.6	52.0	78.6	0	0	0	0	0	0	0	0	0	0	0	90.9
LOC108020397|XP_016944164.1|DSUZ	506.1	207.2	502.7	214.5	380.2	111.3	209.1	543.9	190.7	1391.7	876.7	2268.0	1347.8	916.8	2019.6	1798.1	1520.4	679.9	1383.2	1031.6	1141.7	1774.6	1354.0	1023.5	876.3	1009.2	1349.7	1382.5	351.7	1348.2	1882.5	1157.1	1779.2	2599.3	1835.5	1018.5	959.5	1785.0	320.5	392.9	186.0	108.2	227.6	200.3	376.3	377.5	961.8	293.1	367.1	1778.8
LOC108007659|XP_016926870.1|DSUZ	0	42.0	0	0	0	50.1	0	0	44.3	235.7	97.4	514.2	258.1	125.2	345.5	350.1	413.7	88.6	149.8	102.4	245.0	327.4	142.5	104.0	107.8	115.2	144.1	147.9	0	146.7	424.1	240.0	349.7	649.0	444.1	93.4	159.5	363.2	0	0	0	43.1	48.5	0	0	0	73.2	0	0	342.0
LOC108006872|XP_016925933.1|DSUZ	0	0	0	0	0	0	0	0	0	263.1	244.6	360.1	273.1	237.3	289.3	287.7	291.6	226.9	282.3	256.1	266.5	287.7	263.1	259.6	251.5	239.6	232.3	263.5	0	263.8	315.1	276.9	288.1	392.1	290.4	272.7	216.5	288.5	0	0	0	0	0	0	0	0	252.7	0	0	287.7
LOC108006725|XP_016925760.1|DSUZ	0	0	0	0	0	0	0	0	0	209.9	101.7	314.3	216.9	0	270.4	277.7	266.5	112.8	212.6	105.9	0	278.9	195.7	105.5	104.4	100.9	215.3	192.2	0	192.2	285.8	197.2	282.0	364.4	298.5	104.8	0	278.9	0	0	0	0	0	0	43.5	46.6	106.7	44.7	0	281.6
LOC108021091|XP_016945103.1|DSUZ	441.0	215.3	369.4	227.6	259.2	236.5	235.3	375.9	207.6	822.0	484.2	932.6	820.5	712.2	877.5	857.1	840.1	700.3	740.3	697.6	835.9	861.7	740.7	695.7	693.0	722.6	718.0	744.2	214.9	745.7	843.6	837.0	859.4	989.6	904.4	729.2	708.8	859.0	220.3	141.4	210.3	239.6	221.9	213.8	243.8	159.73333333333335	714.5	191.64999999999998	209.9	858.2
LOC108013267|XP_016934517.1|DSUZ	135.2	98.6	147.5	104.0	88.6	95.9	95.5	172.9	0	276.2	243.8	288.9	276.9	255.0	290.4	285.8	282.0	252.3	272.3	244.6	274.6	285.0	278.9	246.9	244.2	254.2	276.6	277.3	84.3	277.3	281.2	279.6	287.7	295.0	285.8	254.2	259.6	279.6	0	84.7	94.4	85.5	0	98.2	79.0	77.8	237.3	95.1	86.3	287.7
LOC108013604|XP_016935034.1|DSUZ	298.70000000000005	168.60000000000002	249.0	288.1	0	255.4	303.1	680.6	151.0	1962.6	1493.4	2733.0	1801.2	1434.9	2362.4	2414.0	2255.3	1537.3	1949.1	1553.1	2066.2	2315.0	2085.5	1501.5	1554.7	1605.1	1852.8	2085.1	107.44999999999999	2065.4	2437.1	2145.5	2354.7	3105.1	2642.1	1592.0	1530.8	2270.4	99.75	102.65	310.5	93.06666666666666	223.8	190.25	98.8	102.05000000000001	1375.5	168.5	102.05000000000001	2335.8
LOC108015095|XP_016936826.1|DSUZ	0	0	0	0	0	0	0	0	0	238.4	227.3	286.2	251.5	123.2	225.7	349.0	287.7	177.6	177.6	199.9	328.9	337.8	226.1	223.4	219.2	186.4	114.8	221.5	0	226.9	339.0	287.7	330.1	503.4	252.3	72.8	172.6	340.9	0	0	0	0	0	0	0	0	188.0	0	0	325.9
LOC108020378|XP_016944116.1|DSUZ	0	1851.3	0	1780.8	1749.6	1778.1	1796.6	1959.5	1840.5	2646.3	2331.2	2891.3	378.1833333333334	2414.0	922.1666666666666	2803.1	2792.7	2166.7	2644.4	2522.7	820.3333333333334	2793.8	2617.0	2491.5	755.3666666666668	2533.1	2615.9	2668.6	1728.4	2668.6	884.4	2648.6	2462.6	2939.1	694.0999999999999	2531.9	2585.1	1348.75	790.4000000000001	1743.8	1886.7	0	1732.6	1878.2	1729.5	1759.6	2511.1	2028.4	1747.3	2796.1
LOC108012394|XP_016933241.1|DSUZ	212.0	141.4	218.8	138.7	147.5	164.9	142.1	238.4	138.3	408.3	351.7	412.9	411.4	349.0	417.5	416.8	444.1	332.8	377.1	355.1	414.5	422.2	344.0	280.6	344.7	340.5	372.5	344.0	164.9	344.0	438.7	365.5	409.8	474.9	431.4	342.4	334.7	400.2	153.3	85.30000000000001	142.1	109.4	94.55	148.7	164.5	157.1	366.3	0	152.1	410.2
LOC108005933|XP_016924836.1|DSUZ	380.9	314.3	375.9	0	283.5	272.3	0	374.8	326.6	656.4	0	703.0	656.8	545.25	679.1	673.7	688.3	453.2	607.1	517.7	640.2	668.7	612.8	507.7	516.5	472.25	589.7	610.15	312.0	611.3	689.9	640.2	673.7	727.6	703.7	486.09999999999997	595.3	674.9	256.5	294.7	326.6	0	336.3	0	302.0	303.1	561.6	0	310.1	676.0
LOC108008923|XP_016928319.1|DSUZ	0	0	0	0	0	0	0	0	0	95.9	72.8	165.2	98.6	55.8	107.1	119.4	120.2	67.0	0	55.1	84.3	100.5	58.2	69.3	67.8	65.9	45.4	56.2	0	55.5	145.2	100.5	109.0	203.8	156.4	64.3	52.4	117.1	0	0	0	0	0	0	0	0	49.7	0	0	106.3
LOC108021362|XP_016945541.1|DSUZ	1334.7	837.0	667.2	896.7	1028.1	997.7	913.7	951.4	904.0	2293.8	2050.8	2454.1	2271.5	1968.4	2347.0	2307.3	2410.2	2060.0	2178.7	2051.6	2293.1	2395.2	2232.2	2069.7	2044.2	2098.2	2240.3	2248.8	911.8	2245.7	2429.1	2295.8	2396.3	2603.9	2498.0	2063.9	2057.0	2431.4	394.85	1039.3	851.7	1115.9	1023.1	843.2	1014.6	1006.1	2058.1	1108.2	682.1500000000001	2435.6
LOC108004786|XP_016923324.1|DSUZ	190.7	142.5	170.2	88.55000000000001	83.55000000000001	92.5	86.7	178.7	152.5	549.7	449.5	632.5	557.8	439.9	585.5	582.0	630.9	411.0	443.7	471.9	552.4	598.6	461.8	446.8	442.6	461.5	405.2	475.7	84.2	479.2	597.8	541.2	596.7	723.0	611.3	462.6	389.4	609.4	66.73333333333333	91.3	140.2	129.4	96.05	95.5	55.5	72.0	396.7	142.5	0	608.6
LOC108009706|XP_016929750.1|DSUZ	96.3	0	0	0	0	49.7	0	73.2	60.1	120.2	105.9	133.7	124.8	104.0	133.7	126.7	133.3	108.6	127.9	107.1	127.1	126.7	123.30000000000001	107.5	102.8	105.9	129.8	127.5	60.5	127.5	128.6	127.1	126.7	133.7	128.3	107.1	123.6	126.3	58.5	60.1	59.7	0	0	61.6	61.2	0	118.2	68.9	55.1	126.7
LOC108006842|XP_016925881.1|DSUZ	63.9	0	40.400000000000006	40.45	0	0	0	73.9	0	482.3	290.0	552.4	491.5	233.0	510.0	535.8	540.4	298.1	396.7	307.8	493.4	536.2	334.3	290.4	298.5	316.2	380.6	333.2	0	355.1	534.3	412.1	538.5	572.8	547.0	313.2	237.7	530.8	0	0	0	0	0	0	0	0	320.5	51.6	0	534.3
LOC108015227|XP_016937060.1|DSUZ	0	0	0	0	0	0	0	0	0	239.2	178.7	375.2	244.6	154.8	296.2	344.7	339.0	100.9	173.3	158.3	250.0	335.5	218.8	169.1	168.7	162.2	172.9	211.8	0	219.9	297.7	275.4	287.3	406.8	279.6	191.0	180.3	344.4	0	0	0	0	42.0	0	0	0	156.0	0	0	338.2
LOC108017155|XP_016939642.1|DSUZ	0	0	0	0	0	0	0	0	0	230.3	113.6	468.0	239.2	123.2	367.5	346.7	351.3	117.1	168.3	134.4	236.5	344.0	179.1	116.7	116.3	146.4	159.5	156.4	0	155.6	0	268.9	338.2	588.6	382.9	142.9	167.9	342.8	0	0	0	0	0	0	0	0	117.5	0	0	327.0
LOC108013084|XP_016934197.1|DSUZ	0	0	0	0	0	0	0	0	0	244.2	127.9	562.8	289.7	125.9	413.3	422.9	429.9	93.2	112.5	140.2	253.8	378.6	77.76818181818182	128.3	136.0	143.3	107.1	76.012	0	51.2	463.8	272.3	386.0	608.6	482.6	144.1	158.7	403.7	0	0	0	0	0	0	0	0	127.9	0	0	381.3
LOC108010675|XP_016931071.1|DSUZ	0	0	0	0	0	0	0	0	0	255.8	150.2	381.3	251.5	152.9	305.8	357.8	350.5	160.6	145.6	157.9	174.5	315.1	138.7	151.4	0	179.1	144.1	139.8	0	120.9	350.1	93.2	320.5	416.0	372.5	177.9	173.3	348.6	0	0	0	0	0	0	0	0	156.0	0	0	315.5
LOC108010214|XP_016930546.1|DSUZ	70.9	0	0	0	0	0	0	0	0	670.9999999999999	355.9	1679.8	677.2	487.3	1096.3	1209.9	1235.7	511.9	602.8	372.9	724.9	1061.2	629.0	362.5	369.0	512.3	605.1	622.9	0	623.2	1090.1	721.1	963.75	1795.4	1487.6	513.5	619.4	1270.4	0	0	0	0	0	0	0	0	500.7	0	0	1071.6
LOC108013586|XP_016935003.1|DSUZ	0	0	0	0	0	0	0	0	0	337.4	199.5	454.9	339.0	209.1	398.7	384.0	382.5	205.3	293.5	191.4	354.8	406.8	271.9	203.4	200.7	232.3	280.4	280.0	0	281.2	403.7	346.70000000000005	402.5	485.0	433.0	220.7	168.7	402.1	0	0	0	0	0	0	0	0	249.6	0	0	404.1
