None	aaaa	bbbb	cccc	dddd	eeee	ffff	gggg	hhhh	iiii	jjjj	kkkk	llll
AANATL4|NP_611406.1|DMEL	452.6	0	0	0	0	0	0	0	162.75	0	0	111.5
CG4988|NP_609514.1|DMEL	764.6	0	0	0	0	0	0	0	0	0	338.6	337.6
CG32445|NP_730671.1|DMEL	767.7	0	0	0	0	0	0	0	0	0	340.1	356.5
Phae2|NP_609551.2|DMEL	536.6	0	0	0	0	0	371.3	0	0	0	0	190.3
Phae1|NP_609550.1|DMEL	474.6	0	0	0	0	0	361.3	0	0	0	0	167.35000000000002
Tim17a2|NP_649524.1|DMEL	443.0	0	0	0	0	0	277.3	0	0	0	0	171.4
Tim17a1|NP_650180.1|DMEL	442.2	0	0	0	0	0	279.6	0	0	0	0	175.6
vanin-like|NP_572297.1|DMEL	1122.1	0	0	0	0	787.3	0	0	0	0	0	316.8
CG32751|NP_001284927.1|DMEL	1075.5	0	0	0	0	792.0	0	0	0	0	0	293.9
CAH6|NP_001097987.1|DMEL	622.9	0	0	0	0	307.0	0	0	0	0	0	265.0
CAH16|NP_001287620.1|DMEL	587.8	0	0	0	0	300.8	0	0	0	0	0	210.7
Cys|NP_476856.1|DMEL	248.8	0	0	0	0	0	0	0	164.1	0	0	91.05000000000001
CG8066|NP_650374.1|DMEL	213.8	0	0	0	0	0	0	0	165.6	0	0	87.0
CG13978|NP_651562.2|DMEL	1773.4	0	0	0	0	0	0	0	491.5	0	0	299.5
CG6790|NP_650087.2|DMEL	1769.6	0	0	0	0	0	0	0	500.0	0	0	249.0
ACXC|NP_609593.1|DMEL	2223.4	0	0	0	0	1392.3	0	1050.0	0	0	0	718.0
ACXB|NP_620474.2|DMEL	2205.6	0	1490.3	0	0	1430.6	0	1042.7	0	0	0	699.5
ACXA|NP_620475.2|DMEL	2187.5	0	1477.2	0	0	1360.1	0	987.3	0	0	0	701.4
ACXE|NP_652601.3|DMEL	2212.2	0	0	0	0	0	0	1020.7666666666668	0	0	0	712.6
CG12376|NP_610405.3|DMEL	1203.3	0	0	0	0	678.3	0	0	0	0	0	322.0
CG5348|NP_611156.3|DMEL	1158.7	0	0	0	0	673.7	0	0	0	0	0	292.35
CG14743|NP_610408.2|DMEL	1191.8	0	0	0	0	0	0	523.1	0	0	0	283.1
CG14744|NP_001097232.2|DMEL	1238.0	0	0	0	0	0	0	535.8	0	0	0	340.35
CRAT|NP_649650.2|DMEL	1326.6	0	0	0	0	959.5	0	0	0	0	0	557.8
CG5265|NP_650605.1|DMEL	1324.3	0	0	0	0	964.1	0	0	0	0	0	567.0
Cyp313a5|NP_650168.1|DMEL	961.1	0	0	0	0	0	0	0	449.3666666666666	0	0	402.5
Cyp313a1|NP_650368.1|DMEL	1004.2	0	0	0	0	0	539.1	0	467.2	0	0	422.2
Cyp313a2|NP_650169.3|DMEL	973.4	0	0	0	0	594.3	511.1	0	428.3	0	0	410.2
Cyp313a3|NP_650170.2|DMEL	1001.5	0	0	0	0	606.7	565.5	0	471.9	0	0	440.7
CG13801|NP_647714.1|DMEL	1300.8	0	0	0	0	0	0	516.5	0	0	0	347.1
CG11262|NP_648617.2|DMEL	1310.0	0	0	0	0	0	0	506.1	0	0	0	471.1
CG5418|NP_609571.1|DMEL	738.0	0	0	0	0	0	0	485.3	0	0	0	233.8
CG11158|NP_572912.1|DMEL	722.6	0	0	0	0	0	0	484.2	0	0	0	237.3
CG18324|NP_725361.1|DMEL	624.4	0	0	0	0	0	0	0	384.8	0	0	350.1
CG18327|NP_610934.1|DMEL	608.6	0	0	0	0	0	0	0	384.8	0	0	446.8
Takl1|NP_732554.1|DMEL	685.3	0	0	0	0	0	0	0	0	0	172.9	214.9
Takl2|NP_651090.2|DMEL	584.3	0	0	0	0	0	0	0	0	0	176.0	258.1
blanks|NP_647966.1|DMEL	629.8	288.1	0	0	0	0	0	0	0	0	0	122.5
CG12493|NP_647927.3|DMEL	546.2	290.4	0	0	0	0	0	0	0	0	0	123.6
CG31468|NP_732890.1|DMEL	175.6	0	0	0	0	0	0	0	0	0	68.2	69.7
CG31870|NP_723620.1|DMEL	166.8	0	0	0	0	0	0	0	0	0	66.6	64.7
CG3123|NP_608716.1|DMEL	1308.5	0	0	0	0	0	0	0	548.5	0	0	389.4
CG14731|NP_650130.1|DMEL	1331.6	0	0	0	0	0	0	0	545.8	0	0	329.3
Qsox3|NP_650997.1|DMEL	1154.0	0	0	0	0	0	0	0	0	0	393.7	305.8
Qsox2|NP_650998.1|DMEL	1126.7	0	0	0	0	0	0	0	0	0	396.4	346.7
CG18418|NP_647924.2|DMEL	618.2	0	0	0	0	0	0	406.8	0	0	0	342.4
CG7514|NP_647923.1|DMEL	597.0	0	0	0	0	0	0	407.9	0	0	0	328.6
CG31674|NP_610063.4|DMEL	645.2	0	0	0	0	0	0	0	0	487.3	0	333.6
CG9331|NP_788080.1|DMEL	719.2	0	0	0	0	0	0	0	0	489.2	0	358.6
Prosalpha4|NP_525092.1|DMEL	474.2	0	0	0	0	369.0	0	0	0	0	0	309.7
Prosalpha4T1|NP_650910.1|DMEL	486.1	0	0	0	0	368.2	0	0	0	0	0	280.0
GstT2|NP_724816.3|DMEL	474.2	0	0	0	0	0	0	0	331.3	0	0	216.9
GstT1|NP_610509.2|DMEL	465.7	0	0	0	0	0	0	0	326.2	0	0	235.7
CG2187|NP_651890.1|DMEL	1170.2	0	0	0	0	0	0	0	0	0	822.0	560.8
salt|NP_651889.3|DMEL	1202.2	0	0	0	0	0	0	0	0	0	820.1	545.0
CG9649|NP_650343.1|DMEL	932.9	0	0	0	0	0	0	0	0	0	285.0	201.4
CG31326|NP_650344.2|DMEL	988.4	0	0	0	0	0	0	0	0	0	283.9	178.7
p38c|NP_996277.1|DMEL	739.2	0	0	0	0	0	0	0	0	0	377.1	372.1
p38a|NP_477163.1|DMEL	748.0	0	0	0	0	0	0	0	0	0	373.2	595.1
Sr-CII|NP_524720.2|DMEL	1152.5	0	0	0	0	543.9	0	0	270.0	0	0	0
Sr-CI|NP_477102.1|DMEL	975.3	0	0	0	0	542.3	0	0	260.4	0	0	0
ItgaPS5|NP_611808.2|DMEL	2028.1	0	0	0	0	864.4	1097.8	0	0	0	0	0
ItgaPS4|NP_611025.2|DMEL	2082.8	0	0	0	0	855.9	1011.1	0	0	0	0	0
CG1827|NP_610504.4|DMEL	793.5	0	0	0	0	0	394.0	0	0	0	0	313.2
CG10474|NP_611404.1|DMEL	696.0	0	0	0	0	0	392.1	0	0	0	0	265.8
CG30037|NP_725097.2|DMEL	867.8	0	0	0	0	431.0	0	437.2	0	0	0	0
CG30036|NP_725096.2|DMEL	810.8	0	0	0	0	433.3	0	477.2	0	0	0	0
CG31262|NP_732222.2|DMEL	1121.7	0	0	0	0	0	0	655.4	0	0	0	763.1
CG33124|NP_001097056.3|DMEL	1122.8	0	0	0	0	779.6	0	672.5	0	0	0	766.5
CG31668|NP_001097055.2|DMEL	1066.6	0	0	0	0	779.2	0	623.6	0	0	0	730.7
CG13323|NP_610832.1|DMEL	231.5	0	0	0	0	217.6	0	0	0	0	0	57.8
CG13324|NP_610833.1|DMEL	229.9	0	0	0	0	217.2	0	0	0	0	0	55.5
CG1635|NP_651873.3|DMEL	912.1	0	0	0	0	0	0	619.0	0	0	0	428.7
CG1638|NP_001097991.1|DMEL	891.0	0	0	0	0	0	0	617.1	0	0	0	406.4
CG14628|NP_569883.1|DMEL	249.6	0	0	0	0	113.2	0	89.0	0	0	0	0
CG18823|NP_659571.1|DMEL	220.3	0	0	0	0	113.2	0	78.2	0	0	0	0
CG13898|NP_612058.1|DMEL	312.0	0	0	0	0	0	0	0	0	0	94.4	77.8
CG30378|NP_724628.1|DMEL	287.7	0	0	0	0	0	0	0	0	0	98.6	88.2
CG13526|NP_611714.1|DMEL	305.4	0	0	0	0	0	0	0	0	0	83.0	72.8
CG4598|NP_609322.1|DMEL	541.6	0	0	0	0	0	0	0	384.0	0	305.4	0
CG4594|NP_609323.1|DMEL	542.0	0	0	0	0	0	0	0	386.0	0	293.1	0
CG15177|NP_649672.1|DMEL	453.0	0	0	0	0	0	339.7	0	0	0	0	168.33333333333334
sowi|NP_649671.2|DMEL	434.5	0	0	0	0	0	339.0	0	0	0	0	172.70000000000002
Cyp4e2|NP_477117.2|DMEL	1062.8	0	0	0	0	0	0	0	869.8	757.3	0	0
Cyp4e1|NP_524771.1|DMEL	1084.3	0	0	0	0	0	0	0	872.1	746.1	0	0
CG17562|NP_650566.1|DMEL	1010.7	0	0	0	0	0	0	0	652.7	0	509.6	0
CG14893|NP_650568.2|DMEL	1026.9	0	0	0	0	0	0	0	642.85	0	495.9	0
CG17560|NP_650567.1|DMEL	989.6	0	0	0	0	0	0	0	644.6	0	499.75	0
Sgp|NP_609241.1|DMEL	1056.6	0	0	0	0	0	577.4	0	0	0	510.40000000000003	0
CG10097|NP_731699.2|DMEL	1001.5	0	0	0	0	0	574.3	0	0	0	488.79999999999995	0
CG33700|NP_001027121.3|DMEL	369.4	0	0	0	0	0	0	0	0	0	117.1	108.37058823529412
CG33702|NP_001027120.1|DMEL	363.2	0	0	0	0	0	0	0	0	0	115.5	85.76666666666667
CG33783|NP_001027168.1|DMEL	349.7	0	0	267.3	0	0	0	0	0	0	0	108.4888888888889
CG33784|NP_001027169.1|DMEL	386.0	0	0	270.0	0	0	0	0	0	0	0	116.2875
CG33679|NP_001027273.1|DMEL	365.9	0	0	0	0	0	0	0	0	0	176.4	108.6
CG33752|NP_001027409.1|DMEL	383.3	0	0	0	0	0	0	0	0	0	172.9	110.2235294117647
CG33688|NP_001027131.1|DMEL	360.5	0	0	0	0	220.7	0	0	0	0	0	109.2642857142857
CG33689|NP_001027132.2|DMEL	381.7	0	0	0	0	226.5	0	0	0	0	0	130.18235294117648
CG33723|NP_001027235.1|DMEL	365.9	0	0	0	0	0	0	0	185.98	0	0	141.34615384615384
CG33463|NP_995846.2|DMEL	369.0	0	0	0	0	0	0	182.27499999999998	205.7	0	0	149.00833333333335
CG33912|NP_001027139.1|DMEL	333.6	0	238.0	0	0	0	180.3	159.5	159.5	0	0	115.78333333333332
CG33632|NP_001036537.1|DMEL	370.2	0	254.95	0	0	0	215.3	189.1	191.8	0	0	152.06363636363633
CG33764|NP_001027107.1|DMEL	370.2	0	260.55	0	0	0	206.1	177.9	195.3	0	0	145.91666666666666
CG33798|NP_001027414.1|DMEL	363.2	0	0	0	0	0	203.1	200.7	195.3	0	0	155.79999999999998
CG33483|NP_001189327.1|DMEL	475.3	0	0	0	0	0	0	0	186.96666666666667	0	0	152.8
CG33923|NP_001027216.2|DMEL	367.5	0	283.9	0	0	0	0	0	186.8	0	0	157.79333333333332
CG33922|NP_001027217.1|DMEL	367.1	0	279.6	0	0	0	0	0	172.75	0	0	151.58571428571426
CG33648|NP_001027265.2|DMEL	351.7	0	0	0	0	0	0	0	156.36666666666665	0	0	127.92142857142859
CG33796|NP_001027128.1|DMEL	375.6	0	0	0	0	0	0	199.9	0	0	0	158.59999999999997
CG33795|NP_001027129.2|DMEL	328.2	0	0	0	0	0	0	198.0	0	0	0	141.58
CG33453|NP_995888.1|DMEL	358.6	0	0	0	0	0	0	0	207.2	0	0	149.725
CG13589|NP_611918.2|DMEL	368.2	0	302.4	0	0	0	0	0	208.8	0	0	159.64999999999998
CG13590|NP_611919.1|DMEL	406.8	0	302.8	0	0	0	0	0	211.1	0	0	161.49999999999997
Or33a|NP_523553.1|DMEL	736.1	0	0	0	0	0	0	0	431.8	0	0	133.76666666666665
Or33b|NP_523554.1|DMEL	741.9	0	0	0	0	0	0	0	432.2	0	0	141.6833333333333
Or65a|NP_729161.1|DMEL	828.9	0	0	0	0	0	0	0	352.25	0	0	181.0
Or65b|NP_729162.3|DMEL	826.6	0	642.9	0	0	0	0	0	344.4	0	0	164.1
Or65c|NP_729163.2|DMEL	835.5	0	638.6	0	0	0	0	0	361.3	0	0	164.1
CG4318|NP_572860.2|DMEL	390.2	0	0	0	0	47.4	0	44.85	0	0	0	0
Neu2|NP_649316.1|DMEL	371.7	0	0	0	0	48.9	0	72.39999999999999	0	0	0	0
CG4793|NP_723941.2|DMEL	1306.2	0	0	0	0	315.5	0	0	196.89999999999998	0	0	0
CG31780|NP_723920.1|DMEL	961.1	0	0	0	0	310.8	0	0	203.1833333333333	0	0	0
CG18477|NP_609763.1|DMEL	961.1	0	0	0	0	310.8	0	0	203.1833333333333	0	0	0
SPH93|NP_609840.1|DMEL	760.4	0	0	0	0	0	258.45	0	229.94	0	0	0
CG14990|NP_647856.2|DMEL	669.8	0	0	0	0	0	270.0	0	231.88333333333333	0	0	0
CG3117|NP_608722.2|DMEL	713.0	0	0	0	0	0	254.0	0	201.63333333333333	0	0	0
CG18537|NP_611313.1|DMEL	401.0	0	0	0	0	211.8	0	251.9	0	0	0	0
